 
Label	Operation	   
1	Red channel mean shift and sharpening	   
2	Global RGB Adaptation	   
3	Global Luminance Adaptation	   
7	Adaptive Gamma Correction for Red Channel	   
8	%1 Luminance Stretching	   
9	1% Saturation Stretching	   
10	Global Saturation Adaptation	   
11	Haar Wavelet Restoration	   
12	Multi-Scale Fusion (Ancuti et al)	   
17	Dark Channel Prior	   
21	Even to Odd middle intensity transference	   
23	%1 Contrast Stretching	   
24	Local Brightening	   
25	Green to Red Spectrum Transference via Histogram Equalization	   
0/5	Null Operation	 
